college_name,url,college_city,enrollment,tuition
Southwestern Law School,https://www.free-4u.com/Colleges/Southwestern-Law-School.html,Los Angeles,"1,191",
St John's Seminary,https://www.free-4u.com/Colleges/St-John's-Seminary.html,Camarillo,107,
Stanbridge College,https://www.free-4u.com/Colleges/Stanbridge-College.html,Irvine,"1,669",
Stanford University,https://www.free-4u.com/Colleges/Stanford-University.html,Stanford,"19,774","$62,363.00"
Starr King School for Ministry,https://www.free-4u.com/Colleges/Starr-King-School-for-Ministry.html,Berkeley,106,
The Art Institute of California Argosy University Hollywood,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Hollywood.html,North Hollywood,"2,117","$34,807.00"
The Art Institute of California Argosy University Inland Empire,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Inland-Empire.html,San Bernardino,"2,751","$36,004.00"
The Art Institute of California Argosy University Los Angeles,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Los-Angeles.html,Santa Monica,"1,871","$35,299.00"
The Art Institute of California Argosy University Orange County,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Orange-County.html,Santa Ana,"1,917","$35,308.00"
The Art Institute of California Argosy University Sacramento,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Sacramento.html,Sacramento,"1,370","$32,842.00"
The Art Institute of California Argosy University San Diego,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-San-Diego.html,San Diego,"2,361","$36,193.00"
The Art Institute of California Argosy University San Francisco,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-San-Francisco.html,San Francisco,"1,452","$35,101.00"
The Art Institute of California Argosy University Silicon Valley,https://www.free-4u.com/Colleges/The-Art-Institute-of-California-Argosy-University-Silicon-Valley.html,Sunnyvale,550,"$37,117.00"
The California Maritime Academy,https://www.free-4u.com/Colleges/The-California-Maritime-Academy.html,Vallejo,"1,065","$22,023.00"
The Chicago School of Professional Psychology at Irvine,https://www.free-4u.com/Colleges/The-Chicago-School-of-Professional-Psychology-at-Irvine.html,Irvine,291,
The Chicago School of Professional Psychology at Los Angeles,https://www.free-4u.com/Colleges/The-Chicago-School-of-Professional-Psychology-at-Los-Angeles.html,Los Angeles,"2,865","$13,185.00"
The Chicago School of Professional Psychology at Westwood,https://www.free-4u.com/Colleges/The-Chicago-School-of-Professional-Psychology-at-Westwood.html,Los Angeles,,
The Master's College and Seminary,https://www.free-4u.com/Colleges/The-Master's-College-and-Seminary.html,Santa Clarita,"1,756","$43,621.00"
The National Hispanic University,https://www.free-4u.com/Colleges/The-National-Hispanic-University.html,San Jose,,"$9,896.00"
The Santa Barbara and Ventura Colleges of Law Ventura,https://www.free-4u.com/Colleges/The-Santa-Barbara-and-Ventura-Colleges-of-Law-Ventura.html,Ventura,111,
The Santa Barbara and Ventura Colleges of LawñSanta Barbara,https://www.free-4u.com/Colleges/The-Santa-Barbara-and-Ventura-Colleges-of-LawñSanta-Barbara.html,Santa Barbara,86,
